EU rejects German call to boycott British lamb .	B-ORG O B-MISC O O O B-MISC O O
Lebed said on Wednesday he had clinched a truce with Chechen separatists and he promised to halt a threatened bombing assault on Grozny , which the rebels have held since August 6 .	B-PER O O O O O O O O O B-MISC O O O O O O O O O O O B-LOC O O O O O O O O O O
Boat passengers rescued off Colombian coast .	O O O O B-MISC O O
BOGOTA , Colombia 1996-08-22	B-LOC O B-LOC O
Colombia 's Coast Guard on Thursday rescued 12 people lost for three days in an open boat off the Pacific coast , officials said .	B-LOC O B-ORG I-ORG O O O O O O O O O O O O O O O B-LOC O O O O O
The boat had been missing since Monday afternoon when it left the tiny island of Gorgona off Colombia 's southwest coast with sightseers for a return trip to Narino province , near the border with Ecuador .	O O O O O O O O O O O O O O O B-LOC O B-LOC O O O O O O O O O O B-LOC O O O O O O B-LOC O
The boat ran out of fuel and did not have a radio to call for help , Navy spokesman Lt. Italo Pineda said .	O O O O O O O O O O O O O O O O O B-ORG O O B-PER I-PER O O
He said 11 passengers and one boatman survived on coconuts and rainwater during 65 hours lost at sea .	O O O O O O O O O O O O O O O O O O O
The boat was towed to the port city of Buenaventura .	O O O O O O O O O B-LOC O
Argentine July raw steel output up 14.8 pct vs ' 95 .	B-MISC O O O O O O O O O O O
BUENOS AIRES 1996-08-22	B-LOC I-LOC O
Argentine raw steel output was 355,900 tonnes in July , 14.8 percent higher than in July 1995 and up 1.9 percent from June , Steel Industry Center said Thursday .	B-MISC O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O O
Primary iron output was 297,700 tonnes , 14.5 percent more than last July and 0.1 percent more than in June .	O O O O O O O O O O O O O O O O O O O O O
Hot laminate production was 349,000 tonnes , 3.2 percent up from July 1995 and 0.8 percent up from June .	O O O O O O O O O O O O O O O O O O O O
Production of cold laminates was 120,500 tonnes , 4.2 percent higher than the same month last year and 11 percent higher than in June .	O O O O O O O O O O O O O O O O O O O O O O O O O
-- Jason Webb , Buenos Aires Newsroom +541 318-0655	O B-PER I-PER O B-ORG I-ORG I-ORG O O
Peru 's guerrillas kill one , take 8 hostage in jungle .	B-LOC O O O O O O O O O O O
LIMA , Peru 1996-08-21	B-LOC O B-LOC O
Peruvian guerrillas killed one man and took eight people hostage after taking over a village in the country 's northeastern jungle region , anti- terrorist police sources said on Wednesday .	B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
For three hours on Tuesday , around 100 members of the Maoist rebel group Shining Path took control of Alomella Robles , a small village about 345 miles ( 550 km ) northeast of Lima , the sources said .	O O O O O O O O O O O B-MISC O O B-ORG I-ORG O O O B-LOC I-LOC O O O O O O O O O O O O O B-LOC O O O O O
Some guerrillas made villagers listen to propaganda speeches in the village centre , others forced passing motorists out of their cars and daubed their vehicles with slogans .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
By Wednesday , the whereabouts of the eight hostages was still not known , the sources said .	O O O O O O O O O O O O O O O O O O
In recent months the Shining Path , severely weakened since the 1992 capture of its leader Abimael Guzman , has been stepping up both its military and propaganda activities .	O O O O B-ORG I-ORG O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O
Peru 's guerrilla conflicts have cost at least 30,000 lives and $ 25 billion in damage to infrastructure since 1980 .	B-LOC O O O O O O O O O O O O O O O O O O O O
Former Surinam rebel leader held after shooting .	O B-LOC O O O O O O
PARAMARIBO , Surinam 1996-08-21	B-LOC O B-LOC O
Flamboyant former Surinamese rebel leader Ronny Brunswijk was in custody on Wednesday charged with attempted murder , police said .	O O B-MISC O O B-PER I-PER O O O O O O O O O O O O O
Brunswijk turned himself into police after Freddy Pinas , a Surinamese-born visitor from the Netherlands , accused Brunswijk of trying to kill him on Sunday after a bar-room brawl in the small mining town of Moengo , about 56 miles ( 90 km ) east of Paramaribo , said police spokesman Ro Gajadhar .	B-PER O O O O O B-PER I-PER O O B-MISC O O O B-LOC O O B-PER O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O B-LOC O O O O B-PER I-PER O
Pinas , showing cuts and bruises on his face , told reporters the former head of the feared Jungle Command had tried and failed to shoot him after Pinas objected to Brunswijk 's advances toward his wife .	B-PER O O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O B-PER O O B-PER O O O O O O
Pinas said Brunswijk then ordered his bodyguards to beat him up .	B-PER O B-PER O O O O O O O O O
Brunswijk , 35 , denied the charges and said he had merely defended himself when Pinas attacked him with a bottle .	B-PER O O O O O O O O O O O O O O B-PER O O O O O O
It was the second time Brunswijk had been charged with attempted murder in less than two years .	O O O O O B-PER O O O O O O O O O O O O
In 1994 he served two months in prison for shooting a thief in the buttocks .	O O O O O O O O O O O O O O O O
Brunswijk led a rebel group of about 1,000 in a 1986 uprising against the regime of military strongman Desi Bouterse .	B-PER O O O O O O O O O O O O O O O O O B-PER I-PER O
The conflict , which killed more than 500 and caused thousands to flee to neighbouring French Guiana in the late 1980s , eventually paved the way to democratic elections in 1991 .	O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O
Despite numerous problems with authorities , Brunswijk went on to become a successful businessman with mining and logging interests .	O O O O O O B-PER O O O O O O O O O O O O O
He also manages and occasionally plays for one of the leading local soccer teams .	O O O O O O O O O O O O O O O
Noisy saw leads Thai police to heroin hideaway .	O O O B-MISC O O O O O
BANGKOK 1996-08-22	B-LOC O
A Hong Kong carpenter was arrested in the Thai seaside town of Pattaya after police seized 18 kg ( 39.7 pounds ) of heroin following complaints by residents of a noisy saw , police said on Thursday .	O B-LOC I-LOC O O O O O B-MISC O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O
Cheung Siu Man , 40 , was arrested late on Wednesday after police searched a house and found heroin in bags and hidden in hollow spaces in wooden planks , police said .	B-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The suspect said he was hired to make a wooden box from the planks in order to hide the heroin .	O O O O O O O O O O O O O O O O O O O O O
Police went to the house after receiving complaints of sawing during the night over the course of several days .	O O O O O O O O O O O O O O O O O O O O
When they arrived to investigate , police saw people escaping from the back door so they decided to search the house .	O O O O O O O O O O O O O O O O O O O O O O
The seized heroin has an estimated street value of about 300 million baht ( $ 12 million ) , police said .	O O O O O O O O O O O O O O O O O O O O O O
Officials are now hunting for the suspect 's collaborators , police said .	O O O O O O O O O O O O O
Cheung was being detained pending formal charges , police said .	B-PER O O O O O O O O O O
Australia foreign minister arrives in China .	B-LOC O O O O B-LOC O
BEIJING 1996-08-22	B-LOC O
Australian Foreign Minister Alexander Downer arrived in Beijing on Thursday for a four-day visit that follows rising friction between the two nations in recent weeks .	B-MISC O O B-PER I-PER O O B-LOC O O O O O O O O O O O O O O O O O O
Downer was to meet Chinese Foreign Minister Qian Qichen and sign an agreement on an Australian consulate in Hong Kong , an official of the Australian embassy in Beijing said .	B-PER O O O B-MISC O O B-PER I-PER O O O O O O B-MISC O O B-LOC I-LOC O O O O O B-MISC O O B-LOC O O
China will resume sovereignty over Hong Kong , a British colony , in mid-1997 .	B-LOC O O O O B-LOC I-LOC O O B-MISC O O O O O
Relations between China and Australia have been strained in recent weeks because of Australia 's plan to sell uranium to China 's rival Taiwan .	O O B-LOC O B-LOC O O O O O O O O B-LOC O O O O O O B-LOC O O B-LOC O
Other issues affecting ties include plans by an Australian cabinet minister to visit Taiwan , a security pact between Canberra and Washington and a possible visit to Australia next month by Tibet 's exiled spiritual leader the Dalai Lama .	O O O O O O O O B-MISC O O O O B-LOC O O O O O B-LOC O B-LOC O O O O O B-LOC O O O B-LOC O O O O O B-PER I-PER O
Downer is the first Australian minister to visit China since the new conservative government took office in Canberra in March .	B-PER O O O B-MISC O O O B-LOC O O O O O O O O B-LOC O O O
Palestinians accuse PA of banning books .	B-MISC O B-ORG O O O O
NABLUS , West Bank 1996-08-22	B-LOC O B-LOC I-LOC O
A West Bank bookseller charged on Thursday that the Palestinian Information Ministry has forced him to sign an undertaking not to distribute books written by critics of Israeli-PLO self-rule deals .	O B-LOC I-LOC O O O O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O B-MISC O O O
" They made me sign an undertaking not to sell the books to anyone at the risk of legal action .	O O O O O O O O O O O O O O O O O O O O O
One official told me ' you have to either destroy the books or return them to Amman ' , " Daoud Makkawi , owner of the Nablus-based al-Risala bookshop , told Reuters .	O O O O O O O O O O O O O O O O B-LOC O O O B-PER I-PER O O O O B-MISC B-LOC O O O B-ORG O
He said ministry officials made him sign this a few weeks ago after he brought about a dozen copies from Jordan of a book by Edward Said , a prominent scholar at New York City 's Columbia University .	O O O O O O O O O O O O O O O O O O O O B-LOC O O O O B-PER I-PER O O O O O B-LOC I-LOC I-LOC O B-ORG I-ORG O
Said , a U.S. citizen of Palestinian origin , has been an outspoken critic of the 1993 Israeli-PLO self-rule deal and has written at least two books on the accord .	B-PER O O B-LOC O O B-MISC O O O O O O O O O O B-MISC O O O O O O O O O O O O O
On Wednesday a bookseller in the West Bank town of Ramallah said police about a month ago confiscated several copies of two of Said 's books on the Israel-PLO self-rule deals .	O O O O O O B-LOC I-LOC O O B-LOC O O O O O O O O O O O O B-PER O O O O B-MISC O O O
Palestinian Information Ministry Director-General Mutawakel Taha denied that ministry officials forced anyone to sign any undertaking and insisted that the Palestinian Authority has no plans to censor books .	B-ORG I-ORG I-ORG O B-PER I-PER O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O
" There is no strategy to ban books or to suppress freedom of expression in any form whatsoever , " Taha told Reuters .	O O O O O O O O O O O O O O O O O O O O B-PER O B-ORG O
But Taha said that the absence of relevent legislations may have resulted in some mistakes by some security officials .	O B-PER O O O O O O O O O O O O O O O O O O
" This may explain some mistakes against some journalists and writers , " he said .	O O O O O O O O O O O O O O O O
Daoud said books by other authors , including British Journalist Patrick Seale , were also banned .	B-PER O O O O O O O B-MISC O B-PER I-PER O O O O O
He said that security officials often visit his shop to make sure he was not selling the books .	O O O O O O O O O O O O O O O O O O O
" I think this is a bad beginning .	O O O O O O O O O
If we have confidence , why should we be afraid of the other opinion ? "	O O O O O O O O O O O O O O O O
Daoud said .	B-PER O O
Thousands of books were banned from sale in the West Bank and Gaza Strip by the Israeli military authorities before the Jewish state handed over parts of the two areas to the PLO under a self-rule deal in 1994 .	O O O O O O O O O B-LOC I-LOC O B-LOC I-LOC O O B-MISC O O O O B-MISC O O O O O O O O O O B-ORG O O O O O O O
Egypt blames Istanbul control tower for accident .	B-LOC O B-LOC O O O O O
CAIRO 1996-08-22	B-LOC O
The chairman of national carrier EgyptAir on Thursday blamed the control tower at Istanbul airport for the EgyptAir plane accident .	O O O O O B-ORG O O O O O O O B-LOC O O O B-ORG O O O
Twenty people were injured on Wednesday when the EgyptAir Boeing 707 overshot the runway , caught fire , hit a taxi and skipped across a road onto a railway line .	O O O O O O O O B-ORG B-MISC O O O O O O O O O O O O O O O O O O O O O
Chairman Mohamed Fahim Rayyan told a news conference at Cairo airport : " The control tower should have allocated the plane another runway , instead of the one the plane landed on . "	O B-PER I-PER I-PER O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O
" The one it landed on is 2,250 metres ( 2,460 yards ) long while the other one if more than 3,000 metres ( 3,300 yards ) long and is less steep , " he added .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
He said a Turkish civil aviation authority official had made the same point and he noted that a Turkish plane had a similar accident there in 1994 .	O O O B-MISC O O O O O O O O O O O O O O B-MISC O O O O O O O O O
The EgyptAir pilot blamed Turkish airport staff for misleading him .	O B-ORG O O B-MISC O O O O O O
The landing took place after a rainstorm .	O O O O O O O O
" Its not an accident .	O O O O O O
It 's very wet .	O O O O O
The brake action is very poor and the tower said it 's medium .	O O O O O O O O O O O O O O
That 's wrong , " the pilot told private Ihlas news agency in English .	O O O O O O O O O B-ORG O O O B-MISC O
Egypt wants nothing to do with Sudanese rulers .	B-LOC O O O O O B-MISC O O
CAIRO 1996-08-22	B-LOC O
The Egyptian government will have nothing more to do with the Sudanese government because it continues to shelter and support Egyptian militants , President Hosni Mubarak said in a speech on Thursday .	O B-MISC O O O O O O O O O B-MISC O O O O O O O O B-MISC O O O B-PER I-PER O O O O O O O
Egypt says the Sudanese government helped the Moslem militants who tried to kill Mubarak in Addis Ababa last year .	B-LOC O O B-MISC O O O B-MISC O O O O O B-PER O B-LOC I-LOC O O O
It sponsored last week 's U.N. Security Council resolution threatening a ban on Sudanese flights abroad if Khartoum does not hand over three men accused in the Addis Ababa incident .	O O O O O B-ORG I-ORG I-ORG O O O O O B-MISC O O O B-LOC O O O O O O O O O B-LOC I-LOC O O
The sanctions will come into effect in November if Sudan fails to extradite the men , but Sudan says it cannot hand them over to Ethiopia for trial because they are not in Sudan .	O O O O O O O O O B-LOC O O O O O O O B-LOC O O O O O O O B-LOC O O O O O O O B-LOC O
" We are still eager that nothing should affect the Sudanese people but we will not deal with the current regime or the Turabi front or whatever , " Mubarak told a group of academics .	O O O O O O O O O O B-MISC O O O O O O O O O O O O B-PER O O O O O B-PER O O O O O O
Hassan al-Turabi is the leader of the National Islamic Front , the political force behind the Sudanese government .	B-PER I-PER O O O O O B-ORG I-ORG I-ORG O O O O O O B-MISC O O
" I do n't want to go into more details than that but there are more details and they are bitter .	O O O O O O O O O O O O O O O O O O O O O O
There are terrorists they are sheltering and they make Sudanese passorts for them and they get paid by them , " Mubarak said .	O O O O O O O O O B-MISC O O O O O O O O O O O B-PER O O
He did not say if Egypt would go so far as to break relations , a step it has been reluctant to take , ostensibly because it would affect ordinary Sudanese .	O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O B-MISC O
Turkish shares shed gains in profit-taking .	B-MISC O O O O O O
ISTANBUL 1996-08-22	B-LOC O
Turkish shares ended lower on Thursday , shedding gains of earlier in the week amid profit-taking sales , brokers said .	B-MISC O O O O O O O O O O O O O O O O O O O O
The IMKB-100 lost 0.19 percent or 123.89 points to end at 64,178.78 .	O B-MISC O O O O O O O O O O O
Gains so far this week have totalled 2.92 percent .	O O O O O O O O O O
Daily volume dropped to 7.2 trillion lira from Wednesday 's 7.8 trillion lira .	O O O O O O O O O O O O O O
" Profit-taking sales in the afternoon showed the latest gains of the index were actually a reaction rise .	O O O O O O O O O O O O O O O O O O O
I expect the market to go as far down as 63,000 tomorrow if sales continue , " said Burcin Mavituna from Interbank .	O O O O O O O O O O O O O O O O O O B-PER I-PER O B-ORG O
Brokers said profit taking sales had come especially as the index approached the 65,000 resistance level .	O O O O O O O O O O O O O O O O O
They said the index could also rise towards 65,000 if the cheap share prices attracted buyers .	O O O O O O O O O O O O O O O O O
The market had its first resistance at 67,000 if it pierced 65,000 , they added .	O O O O O O O O O O O O O O O O
The session 's most active shares were those of Isbank gained 300 lira to 8,600 .	O O O O O O O O O B-ORG O O O O O O
Shares of utility Cukurova lost 3,000 lira to 67,000 .	O O O B-ORG O O O O O O
The 85-share industrial index lost 0.47 percent to 70,848.86 and the 15-share financial index rose by 0.55 percent to 55,929.89 .	O O O O O O O O O O O O O O O O O O O O O
Of the 218 shares traded , gainers outdid losers by 100 to 64 and 54 shares were stable .	O O O O O O O O O O O O O O O O O O O
-- Istanbul Newsroom , +90-212-275 0875 SA	O B-ORG I-ORG O O O O
Miss Universe hides behind veil of silence .	B-MISC I-MISC O O O O O O
Kieran Murray	B-PER I-PER
LAS CRUCES , N.M. 1996-08-22	B-LOC I-LOC O O O
Miss Universe , Venezuela 's Alicia Machado , left New Mexico on Thursday , refusing to answer questions about her weight or claims she was told to either go on a crash diet or give up her title .	B-MISC I-MISC O B-LOC O B-PER I-PER O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Machado , 19 , flew to Los Angeles after slipping away from the New Mexico desert town of Las Cruces , where she attended the 1996 Miss Teen USA pageant on Wednesday .	B-PER O O O O O B-LOC I-LOC O O O O O B-LOC I-LOC O O O B-LOC I-LOC O O O O O B-MISC I-MISC I-MISC I-MISC O O O O
While Machado was not a contestant here , she came under intense scrutiny following reports she was given an ultimatum by Los Angeles-based Miss Universe Inc. to drop 27 pounds ( 12 kg ) in two weeks or risk losing her crown .	O B-PER O O O O O O O O O O O O O O O O O O O B-MISC I-MISC B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O
In Venezuela , her mother told Reuters that Machado had a swollen face when she left home two weeks ago because she had her wisdom teeth extracted .	O B-LOC O O O O B-ORG O B-PER O O O O O O O O O O O O O O O O O O O
Marta Fajardo insisted her daughter , who weighed 112 pounds ( 51 kg ) when she won the Miss Universe title in Las Vegas in May , had perfectly normal eating habits .	B-PER I-PER O O O O O O O O O O O O O O O O B-MISC I-MISC O O B-LOC I-LOC O O O O O O O O O
" Everybody has their own addiction to something or other but it 's not as if she eats cakes like crazy , " she said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Organisers flatly denied ever threatening Machado but immediately put her under wraps and blocked access to her .	O O O O O B-PER O O O O O O O O O O O O
Dressed in a black strapless evening gown at Wednesday 's pageant , Machado was clearly heavier than the contestants but still won rave reviews after her brief appearance on stage .	O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O
" Are you kidding ?	O O O O O
She 's fantastic , " said Nikki Campbell , 28 , who went to the pageant . "	O O O O O O B-PER I-PER O O O O O O O O O O
She looked great .	O O O O
Very sexy . "	O O O O
Machado 's publicists said on Thursday she was scheduled to stay in Los Angeles for promotional work with sponsors before returning to Venezuela on Sept .	B-PER O O O O O O O O O O O B-LOC I-LOC O O O O O O O O B-LOC O O O
5 .	O O
Beauty queens are high-profile personalities in Venezuela and Machado 's alleged weight problem made front page news this week .	O O O O O O B-LOC O B-PER O O O O O O O O O O O
It was an official of the Miss Venezuela Organisation who first said Machado had been told to lose weight fast .	O O O O O O B-ORG I-ORG I-ORG O O O B-PER O O O O O O O O
People close to her said she then eased up on her diet and indulged her passion for pasta and cake , but it was not clear how many pounds she gained and most people who saw her said she was still a long way from being fat .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Martin Brooks , president of Miss Universe Inc , said he spoke with Machado to assure her that organisers were not putting pressure on her .	B-PER I-PER O O O B-ORG I-ORG I-ORG O O O O O B-PER O O O O O O O O O O O O
" She 's fine with it .	O O O O O O O
She wished , as we all did , that it had n't happened but she 's spiritually and mentally terrific .	O O O O O O O O O O O O O O O O O O O O O
There 's no problem whatsoever , " he told Reuters .	O O O O O O O O O B-ORG O
He said the lifestyle associated with being Miss Universe could make routine exercise difficult .	O O O O O O O B-MISC I-MISC O O O O O O
" The problem is they travel so much and are so busy that the ability to have any type of regimented routine workout does n't exist .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
I dont know if Alicia is working out .	O O O O B-PER O O O O
We have n't talked about it because it has n't been an issue , " he said .	O O O O O O O O O O O O O O O O O O
Kevorkian attends third suicide in week .	B-PER O O O O O O
PONTIAC , Mich .	B-LOC O B-LOC O
1996-08-22	O
Dr. Jack Kevorkian attended his third suicide in less than a week on Thursday , bringing the body of a 40-year-old Missouri woman suffering from multiple sclerosis to a hospital emergency room , doctors said .	O B-PER I-PER O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O
Dr Robert Aranosian , emergency room director at Pontiac Osteopathic Hospital , said Kevorkian brought in the body of Patricia Smith , of Lees Summit , Mo .	O B-PER I-PER O O O O O B-LOC I-LOC I-LOC O O B-PER O O O O O B-PER I-PER O O B-LOC I-LOC O B-LOC O
, at midday and told doctors that she had been paralysed by the disease .	O O O O O O O O O O O O O O O
It was his second assisted-suicide in 36 hours and the 37th that he has acknowledged attending since starting his crusade for doctor assisted suicide in 1990 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Kevorkian 's lawyer , Geoffrey Fieger , said those attending Smith 's death included her husband , David , a police officer , her father , James Poland , and Kevorkian .	B-PER O O O B-PER I-PER O O O O B-PER O O O O O O B-PER O O O O O O O O B-PER I-PER O O B-PER O
It was the first known time that a police officer has been president at the suicide of one of Kevorkian 's patients .	O O O O O O O O O O O O O O O O O O O B-PER O O O
He offered no details about the cause of Smith 's death or the location .	O O O O O O O O B-PER O O O O O O
She was a nurse who had " rapidly progressing multple sclerosis . "	O O O O O O O O O O O O O
On Tuesday night , Kevorkian attended the death of Louise Siebens , a 76-year-old Texas woman with amyotrophic lateral sclerosis , or Lou Gehrig 's disease .	O O O O B-PER O O O O B-PER I-PER O O O B-LOC O O O O O O O B-PER I-PER O O O
On August 15 , Kevorkian helped Judith Curren , a 42-year-old Massachusetts nurse , who suffered from chronic fatigue syndrome , a non-terminal illness , to end her life .	O O O O B-PER O B-PER I-PER O O O B-LOC O O O O O O O O O O O O O O O O O O
Fairview , Texas , $ 1.82 million deal Baa1 - Moody 's .	B-LOC O B-LOC O O O O O O O B-ORG I-ORG O
NEW YORK 1996-08-22	B-LOC I-LOC O
Moody 's Investors Service -	B-ORG I-ORG I-ORG I-ORG O
Rating Announcement As of 08/21/96 .	O O O O O O
Issuer : Fairview Town	O O B-LOC I-LOC
State : TX	O O B-LOC
Rating : Baa1	O O O
Sale Amount : 1,820,000	O O O O
Expected Sale Date : 08/27/96	O O O O O
-- U.S. Municipal Desk , 212-859-1650	O B-ORG I-ORG I-ORG O O
Defiant U.S. neo-Nazi jailed by German court .	O B-LOC B-MISC O O B-MISC O O
Andrew Gray	B-PER I-PER
HAMBURG , Germany 1996-08-22	B-LOC O B-LOC O
A Hamburg court sentenced U.S. neo-Nazi leader Gary Lauck on Thursday to four years in prison for pumping banned extremist propaganda into Germany from his base in the United States .	O B-LOC O O B-LOC B-MISC O B-PER I-PER O O O O O O O O O O O O O B-LOC O O O O O B-LOC I-LOC O
Lauck , from Lincoln , Nebraska , yelled a tirade of abuse at the court after his conviction for inciting racial hatred .	B-PER O O B-LOC O B-LOC O O O O O O O O O O O O O O O O O
" The struggle will go on , " the 43-year-old shouted in German before being escorted out by security guards .	O O O O O O O O O O O O B-MISC O O O O O O O O
Lauck 's lawyer vowed he would appeal against the court 's decision , arguing that his client should have been set free because he had not committed any offence under German law .	B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC O O
The German government hailed the conviction as a major victory in the fight against neo-Nazism .	O B-MISC O O O O O O O O O O O O B-MISC O
Lauck 's worldwide network has been the main source of anti-Semitic propaganda material flowing into Germany since the 1970s .	B-PER O O O O O O O O O B-MISC O O O O B-LOC O O O O
" Lauck possessed a well-oiled propaganda machine , honed during more than 20 years , " presiding judge Guenter Bertram told the court .	O B-PER O O O O O O O O O O O O O O O O B-PER I-PER O O O O
" He set up a propaganda cannon and fired it at Germany . "	O O O O O O O O O O O B-LOC O O
said Bertram , who also read out extracts from Lauck 's material praising Hitler as " the greatest of all leaders " and describing the Nazi slaughter of millions of Jews as a myth .	O B-PER O O O O O O O B-PER O O O B-PER O O O O O O O O O O O B-MISC O O O O B-MISC O O O O
Eager to put Lauck behind bars quickly and avoid a long and complex trial , prosecutor Bernd Mauruschat limited his charges to offences since 1994 .	O O O B-PER O O O O O O O O O O O O B-PER I-PER O O O O O O O O
He had demanded a five-year jail term but said he was satisfied with the court 's sentence .	O O O O O O O O O O O O O O O O O O
Publishing and distributing neo-Nazi material is illegal in Germany but Lauck 's defence team had argued that U.S freedom of speech laws meant he was free to produce his swastika-covered books , magazines , videos and flags in his homeland .	O O O B-MISC O O O O B-LOC O B-PER O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O
Interior Minister Manfred Kanther said in a statement he " welcomed the prosecution and conviction of one of the ringleaders of international neo-Nazism and biggest distributers of vicious racist publications " .	O O B-PER I-PER O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O O
" It is high time he was behind bars , " the opposition Social Democrats said in a statement .	O O O O O O O O O O O O O B-MISC I-MISC O O O O O
Lauck , dressed in a sober blue suit and sporting his trademark Hitleresque black moustache , showed no sign of emotion as Bertram spent more than an hour reading out the verdict and explaining the court 's decision .	B-PER O O O O O O O O O O O B-MISC O O O O O O O O O B-PER O O O O O O O O O O O O O O O O
But as Lauck was about to be led away , he turned to reporters and blurted out a virtually incomprehensible quick-fire diatribe against the court .	O O B-PER O O O O O O O O O O O O O O O O O O O O O O O
" Neither the National Socialists ( Nazis ) nor the communists dared to kidnap an American citizen , " he shouted , in an oblique reference to his extradition to Germany from Denmark . "	O O O B-MISC I-MISC O B-MISC O O O O O O O O B-MISC O O O O O O O O O O O O O O B-LOC O B-LOC O O
That 's the truth . "	O O O O O O
His attorney , Hans-Otto Sieg , told reporters outside the courtroom that the judges had not explained how a German court could judge someone for actions carried out in the United States .	O O O B-PER I-PER O O O O O O O O O O O O O O B-MISC O O O O O O O O O O B-LOC I-LOC O
Bertram said Lauck was obsessed by Nazism and devoted his life to leading his National Socialist German Workers ' Party Foreign Organisation ( NSDAP-AO ) , which derives its name from the full German title of Hitler 's Nazi party .	B-PER O B-PER O O O B-MISC O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O B-MISC O O B-PER O B-MISC O O
During the three-month trial , the court dealt mainly with issues of the NSDAP-AO 's " NS Kampfruf " ( " National Socialist Battle Cry " ) magazine , filled with references to Aryan supremacy and defamatory statements about Jews .	O O O O O O O O O O O O O B-ORG O O B-ORG I-ORG O O O B-ORG I-ORG I-ORG I-ORG O O O O O O O O B-MISC O O O O O B-MISC O
The court rejected Sieg 's argument that Lauck 's extradition from Denmark , where he was arrested in March last year at the request of German authorities , was illegal .	O O O B-PER O O O B-PER O O O B-LOC O O O O O O O O O O O O O B-MISC O O O O O
Lauck was also convicted of disseminating the symbols of anti-constitutional organisations .	B-PER O O O O O O O O O O O
He will probably be free in around two and a half years .	O O O O O O O O O O O O O
The court ruled that the 15 months he has spent in custody since his arrest should be subtracted from his prison term .	O O O O O O O O O O O O O O O O O O O O O O O
UN official says Iraqi deal will occur " soon " .	B-ORG O O B-MISC O O O O O O O
UNITED NATIONS 1996-08-22	B-ORG I-ORG O
A senior U.N. official said on Thursday he expected arrangements to implement the Iraqi oil-for-food deal could be completed " quite soon . "	O O B-ORG O O O O O O O O O O B-MISC O O O O O O O O O O
" I am reluctant to speculate but we are doing the preparations and the secretary-general is anxious to start the program , " said Undersecretary-General Yasushi Akashi .	O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O
" It might be sooner than you think , " he told reporters after briefing the Security Council on arrangements for monitors needed to carry out the agreement .	O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O
Akashi is head of the Department of Humanitarian affairs .	B-PER O O O O B-ORG I-ORG I-ORG I-ORG O
His deputy earlier speculated at least 10 days .	O O O O O O O O O
Suspected killers of bishop dead -- Algeria TV .	O O O O O O B-ORG I-ORG O
PARIS 1996-08-22	B-LOC O
Algerian security forces have shot dead three Moslem guerrillas suspected of killing a leading French bishop in western Algeria , the Algerian state-run television said on Thursday .	B-MISC O O O O O O B-MISC O O O O O O B-MISC O O O B-LOC O O B-MISC O O O O O O
Security forces also arrested four other men sought for giving support to the slain Moslem rebels , the television said .	O O O O O O O O O O O O O O B-MISC O O O O O O
The television , which did not say when the security forces killed the rebels , said the four arrested men confessed details of the assassination of the French Roman Catholic Bishop Pierre Claverie .	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MISC B-MISC I-MISC O B-PER I-PER O
The 58-year-old Claverie was killed in August 1 in a bomb blast at his residence in the western Algerian city of Oran , hours after he met visiting French Foreign Minister Herve de Charette in Algiers .	O O B-PER O O O O O O O O O O O O O O O B-MISC O O B-LOC O O O O O O B-MISC O O B-PER I-PER I-PER O B-LOC O
